1,2,3
1,3,11
1,4,7
1,5,1
1,7,16
1,8,8
1,9,6
1,10,10
1,11,5
1,12,2
1,13,5
1,16,15
1,17,5
1,21,33
1,22,11
1,23,4
1,24,2
1,25,49
1,27,112
1,28,24
1,29,4
1,30,15
1,31,26
1,32,5
1,34,2
1,35,4
1,41,17
1,42,9
1,43,1
1,44,45
1,45,16
1,46,14
1,47,3
1,48,14
1,49,13
1,50,4
1,53,4
1,55,2
1,56,16
1,57,4
1,58,15
1,59,7
1,61,7
1,62,6
1,63,6
1,64,195
1,67,7
1,68,8
1,69,2
1,70,1
1,71,31
1,74,10
1,75,12
1,76,51
1,77,5
1,79,65
1,80,4
1,81,12
1,82,4
1,83,14
1,84,2
1,85,3
1,86,18
1,87,2
1,88,8
1,89,9
1,90,3
1,91,3
1,92,5
1,93,5
1,94,25
1,95,3
1,96,6
1,98,3
1,99,1
1,100,2
1,101,6
1,103,10
1,104,5
1,105,3
1,106,4
1,107,5
1,108,14
2,3,5
2,27,6
2,28,14
2,29,2
2,31,6
2,41,10
2,45,7
2,46,3
2,48,1
2,57,5
2,59,3
2,64,11
2,67,6
2,71,5
2,79,29
2,83,7
2,84,2
2,94,20
2,99,6
2,105,4
2,106,1
3,4,1
3,8,6
3,13,4
3,16,2
3,21,6
3,22,22
3,23,1
3,24,7
3,27,7
3,28,6
3,30,1
3,31,4
3,33,1
3,34,16
3,35,6
3,36,4
3,37,9
3,38,1
3,39,18
3,40,8
3,41,7
3,42,3
3,43,2
3,44,28
3,45,2
3,48,2
3,55,1
3,57,23
3,58,5
3,63,5
3,64,35
3,65,2
3,69,4
3,70,1
3,71,11
3,76,20
3,77,3
3,79,11
3,82,2
3,83,8
3,85,4
3,87,3
3,92,7
3,94,11
3,96,4
3,99,9
3,105,1
4,7,8
4,8,1
4,23,2
4,24,1
4,25,2
4,27,6
4,28,2
4,29,2
4,31,5
4,33,1
4,34,2
4,35,9
4,37,4
4,39,2
4,41,3
4,42,1
4,44,13
4,45,5
4,46,6
4,50,2
4,53,8
4,54,2
4,55,1
4,59,1
4,62,3
4,64,22
4,65,2
4,66,4
4,67,5
4,71,3
4,74,1
4,75,5
4,76,6
4,77,2
4,79,13
4,81,7
4,83,3
4,84,1
4,87,2
4,88,1
4,93,2
4,94,8
4,95,2
4,99,4
4,104,5
4,105,1
4,106,4
4,107,5
4,108,2
5,9,4
5,11,2
5,13,1
5,16,2
5,19,20
5,21,2
5,22,12
5,23,2
5,24,4
5,27,7
5,28,5
5,31,1
5,41,3
5,44,3
5,48,1
5,49,1
5,50,4
5,56,12
5,61,2
5,64,20
5,71,3
5,74,8
5,76,4
5,79,7
5,80,1
5,81,2
5,83,4
5,89,2
5,93,4
5,94,2
5,95,2
5,103,2
6,12,10
6,22,5
6,24,5
6,35,5
6,41,5
